sample_id,curve_id,run_id,instrument_seq,sample_time_seconds,temperature_celsius,heat_flow_mw,mass_mg
S0045,FIX1,FIX1-R1,45,43,43,14.3000,100.0000
S0046,FIX1,FIX1-R1,46,44,44,14.4000,100.0000
S0047,FIX1,FIX1-R1,47,45,45,14.5000,100.0000
S0048,FIX1,FIX1-R1,48,46,46,14.6000,100.0000
S0049,FIX1,FIX1-R1,49,47,47,14.7000,100.0000
S0050,FIX1,FIX1-R1,50,48,48,14.8000,100.0000
S0051,FIX1,FIX1-R1,51,49,49,14.9000,100.0000
S0052,FIX1,FIX1-R1,52,50,50,15.0000,100.0000
S0053,FIX1,FIX1-R1,53,51,51,15.4000,99.6000
S0054,FIX1,FIX1-R1,54,52,52,15.8000,99.2000
S0055,FIX1,FIX1-R1,55,53,53,15.2000,98.8000
S0056,FIX1,FIX1-R1,56,54,54,14.6000,98.4000
S0057,FIX1,FIX1-R1,57,55,55,14.8500,98.0000
S0058,FIX1,FIX1-R1,58,56,56,15.1000,97.6000
S0059,FIX1,FIX1-R1,59,57,57,15.2500,97.2000
S0060,FIX1,FIX1-R1,60,58,58,15.4000,96.8000
S0061,FIX1,FIX1-R1,61,59,59,15.7000,96.4000
S0062,FIX1,FIX1-R1,62,60,60,16.0000,96.0000
S0063,FIX1,FIX1-R2,63,70,70,17.0000,95.5000
S0064,FIX1,FIX1-R2,64,72,72,18.0000,94.8000
S0065,FIX1,FIX1-R2,65,74,74,16.4000,94.1000
S0066,FIX1,FIX1-R2,66,76,76,16.9000,93.4000
S0067,FIX1,FIX1-R2,67,78,78,17.4000,92.7000
S0068,FIX1,FIX1-R2,68,80,80,18.0000,92.0000
S0069,FIX1,FIX1-R2,69,82,82,18.2000,92.0000
S0070,FIX1,FIX1-R2,70,84,84,18.4000,92.0000
S0071,FIX1,FIX1-R2,71,86,86,18.6000,92.0000
S0072,FIX1,FIX1-R2,72,88,88,18.8000,92.0000
S0073,FIX1,FIX1-R2,73,90,90,19.0000,92.0000
S0074,FIX1,FIX1-R3,74,90,90,19.0000,92.0000
S0075,FIX1,FIX1-R3,75,95,90,19.0000,92.0000
S0076,FIX1,FIX1-R3,76,100,90,19.0000,92.0000
S0077,FIX1,FIX1-R3,77,105,90,19.0000,92.0000
S0078,FIX1,FIX1-R3,78,110,90,19.0000,92.0000
S0079,FIX1,FIX1-R4,79,110,90,19.0000,92.0000
S0080,FIX1,FIX1-R4,80,114,84,18.4000,92.0000
S0081,FIX1,FIX1-R4,81,118,78,17.8000,92.0000
S0082,FIX1,FIX1-R4,82,122,72,17.2000,92.0000
S0083,FIX1,FIX1-R4,83,126,66,16.6000,92.0000
S0084,FIX1,FIX1-R4,84,130,60,16.0000,92.0000
S0085,FIX1,FIX1-R4,85,134,54,15.4000,92.0000
S0086,FIX1,FIX1-R4,86,138,48,14.8000,92.0000
S0087,FIX1,FIX1-R4,87,142,42,14.2000,92.0000
S0088,FIX1,FIX1-R4,88,146,36,13.6000,92.0000
S0089,FIX1,FIX1-R4,89,150,30,13.0000,92.0000
